Quantities,PartID
6485744-1,https://rebrickable.com/sets/6485744-1/z-blob-mt/?inventory=1
2,3024
2,3022
2,54200
4,14419
2,14704
2,14418
4,2736
2,99781
5,3069
1,30367
1,3004
1,22885
2,3023
2,4032
2,11476
2,3665
4,73230
2,3070
1,1748
30636-1,https://rebrickable.com/sets/30636-1/z-blob-and-bunchu-spider-escape/?inventory=1
1,15573
1,75937
1,32803
1,22888
2,44861
2,13548
2,33909
3,4032
2,20952
2,11476
1,66965
6,98313
1,3062
1,3941
2,1997
2,23443
1,99563
3,98138
7,87747
3,6141
112322-1,https://rebrickable.com/sets/112322-1/zane-vs-garmadon/?inventory=1
2,21459
71786-1,https://rebrickable.com/sets/71786-1/zanes-ice-dragon-creature/?inventory=1
6,78258
2,87618
1,23443
2,98100
2,4733
4,3623
2,78329
1,3460
1,75937
39,54200
20,28192
2,13547
4,3665
9,32062
4,18651
2,6536
1,48172
11,61332
2,65886
2,66909
4,43093
2,6134
8,73825
2,28802
2,90258
1,15400
2,63868
2,99021
2,80563
1,29120
1,29119
2,87083
2,42135
4,32016
4,50923
9,73230
4,32000
4,85943
2,17114
4,48171
2,27940
4,10197
30,99780
42,3023
18,2420
1,11213
2,6587
4,60483
4,87087
1,96874
1,25111
10,6091
12,3024
2,3710
20,15571
2,24201
14,25269
1,14769
5,22391
16,36840
28,99781
21,99207
2,76766
2,44865
2,3937
2,3666
3,3021
4,3795
5,32828
6,44861
2,48336
4,78256
5,60470
2,15456
4,2310
2,4519
2,32073
2,57585
2,32034
2,32015
4,3700
5,32123
2,22961
2,79505
3,20482
10,3020
3,4032
2,6541
3,53451
2,2142
6,79897
10,59900
18,16770
4,76919
5,2144
6,85861
6,15573
4,67695
5,18654
4,65304
6,48267
4,27263
2,36017
4,98137
12,47456
1,13695
2,14716
1,26007
2,1745
1,93273
1,61184
3,89678
2,69729
5,15712
2,49307
2,11458
2,33909
1,79896
8,3022
16,11477
2,15068
9,3069
1,87079
1,3002
2,4070
4,32064
2,15303
1,3941
1,87552
10,49668
7,87747
3,64847
3,30377
4,98313
14,36841
16,44728
6,41682
2,11215
6,3005
2,3622
6,3003
4,3001
2,78666
2,76797
4,11211
1,2169
7,2186
6,15064
2,3034
4,79846
2,68568
2,80015
2,18980
4,26047
2,61252
17,35480
6,92692
3,34103
8,41740
2,87580
10,99206
1,3298
1,3049d
8,15672
12,66956
5,32803
1,80177
1,80178
2,11153
4,76959
2,4871
2,52501
6,57909
10,67696
2,48169
8,47455
2,6636
2,35787
4,99563
10,22385
2,2186e
2,2186d
2,64225
1,41748
1,41747
11,51739
2,43723
2,43722
6,2450
1,90194
1,43710
1,43711
6,13548
1,42862
1,48165
2,1846
1,10102
1,25264
1,2143
71791-1,https://rebrickable.com/sets/71791-1/zanes-dragon-power-spinjitzu-race-car/?inventory=1
2,30374
1,50303
5,44728
4,76766
2,3659
1,53118
1,93095
2,3031
2,60474
1,78257
1,11476
2,10247
2,3204
2,15706
4,28192
3,15068
1,30925
2,32278
2,3680
2,44309
2,65429
2,65426
1,32059
2,56145
2,2148
4,43093
2,99781
1,73562
2,2357
1,3001
2,54657
4,3710
2,18646
2,2540
2,3176
2,61409
9,54200
2,15672
2,87083
2,11214
2,32140
5,89678
6,25269
1,3668
4,15573
2,85984
4,66956
4,2420
1,32028
2,61072
2,44301
1,91988
1,3020
1,3795
2,79194
4,35480
2,2736
3,73109
2,3679
6,70681
6,3666
5,3022
2,60897
2,11153
3,93606
2,60483
1,3069
2,26601
2,24299
2,24307
1,11215
2,3171
2,59900
3,6141
2,61252
4,65304
2,4185
4,15712
4,27263
2,95199
2,64567
7,21459
1,55889
1,3214
1,3021
4,32062
3,3713
2,6091
1,11211
2,33909
1,71752
3,99563
2,92534
2,2149
2,44375
6,98138
9,3023
1,17979
2,98585
2,63868
2,60478
2,11458
2,3040
1,29120
1,29119
2,65249
1,11946
1,11947
2,62462
2,14719
1,47456
1,11291
1,43723
1,43722
1,43710
1,43711
2,13548
1,35789
2,3623
2,32064
5,3673
1,10103
1,85861
1,3070
1,90370
1,32828
892306-1,https://rebrickable.com/sets/892306-1/zane/?inventory=1
1,92690
1,87994
1,85861
1,64567
1,21459
2,98138
1,23860
912306-1,https://rebrickable.com/sets/912306-1/y-wing/?inventory=1
2,78258
2,3623
1,3460
8,4032
1,41740
4,89678
4,20482
8,87994
4,17485
1,4595
2,3023
1,32828
10,85861
3,3069
2,2654
2,30367
2,52107
2,11477
912312-1,https://rebrickable.com/sets/912312-1/yodas-jedi-starfighter/?inventory=1
4,3957
8,2654
8,60470
2,99563
2,3022
4,18649
2,18674
4,3024
4,60481
4,43723
4,43722
4,2450
4,99207
4,3794
2,98138
4,27263
2,54384
2,54383
2,4740
80043-1,https://rebrickable.com/sets/80043-1/yellow-tusk-elephant/?inventory=1
2,87994
8,11090
2,73562
2,30367
2,73111
2,61482
2,77257
4,78329
41,6141
6,88072
10,63868
1,60470
2,2926
2,15456
13,22388
1,4871
2,18651
1,92907
1,48172
3,85940
13,61332
6,47455
1,61485
2,27393
2,18034
3,11476
13,22385
1,66857
16,98313
2,36840
30,99780
1,3002
1,37352
1,60169
1,3639
3,69755
23,3022
5,3795
1,61252
2,2540
8,14417
4,14419
2,22890
13,87580
2,15706
2,80563
10,28192
8,3039
2,24201
1,29120
1,29119
2,93606
2,98834
2,32192
6,85943
2,48171
8,3070
2,69729
2,98835
2,26601
1,43723
1,43722
7,33909
4,72869
2,36841
2,87087
35,3023
2,41740
10,11477
11,15068
1,59443
12,3021
1,3032
7,3710
4,60478
8,3069
6,3068
5,30377
2,2343
8,15064
1,93789
1,3832
1,23443
17,99781
1,3956
1,2456
2,60475
1,33492
4,59900
2,77258
2,69754
4,86996
2,32828
1,60474
8,14704
2,14418
6,99206
2,15672
1,32803
2,61408
1,32531
4,73109
4,32123
8,4274
2,22961
2,65487
1,44874
2,32557
2,79505
3,1748
7,15712
16,27263
1,11291
3,3666
1,3176
1,3004
2,28802
1,43898
2,11212
3,3010
1,24947
1,96874
8,30374
2,63965
1,3062
2,77808
2,30340
3,2665
3,69858
4,85861
3,48336
1,15573
3,18654
1,14769
1,2665f
3,64567
2,2665g
1,2665d
1,2665e
1,36017
4,4489
2,44865
8,32062
2,11214
2,6020
15,99207
1,4032
2,4081
2,30094
1,93273
2,15462
12,73825
11,44728
2,64570
1,3034
2,78256
5,40379
8,3005
2,6005
12,49307
1,47457
8,65617
1,4733
2,79897
1,3640
1,65783
18,3020
5,2654
6,68568
2,30565
14,35480
8,11458
2,15208
4,10247
2,27261
9,54200
3,85984
2,66956
2,45677
1,3747
2,76959
6,32802
2,32316
2,32526
1,62462
2,2431
3,25269
2,2412
2,11203
2,49153
2,47753
1,24299
1,24307
4,2450
4,13548
2,41751
2,40378
8,44861
1,32073
1,10101
40575-1,https://rebrickable.com/sets/40575-1/year-of-the-rabbit/?inventory=1
2,6091
2,32952
3,30414
19,3024
14,3023
2,3623
9,3022
6,2420
2,3021
5,3020
2,26047
4,35480
16,54200
2,24201
12,11477
7,15068
2,50950
5,93273
4,3665
6,3069
2,15712
2,99206
2,32607
6,25269
2,22888
2,26604
3,11211
1,3679
2,87087
2,2423
3,87580
1,87079
8,24866
2,3004
4,15573
6,22885
2,3710
1,3660
2,36840
2,3005
2,2357
1,3001
1,98100
2,3031
2,6141
1,4032
2,85984
3,3070
1,2431
7,24246
2,14769
1,3680
1,51739
1,64056
75365-1,https://rebrickable.com/sets/75365-1/yavin-4-rebel-base/?inventory=1
2,78258
7,36840
2,2453
1,2465
7,2454
8,3009
27,3003
3,3007
6,60475
4,2877
5,30414
2,60596
2,30162
1,6134
1,20105
1,93095
2,23950
1,60581
3,3024
8,86996
40,3023
2,3710
6,2420
9,3795
7,3032
1,3036
4,1745
5,2654
4,44861
2,88072
6,60470
8,34103
11,15672
4,24201
7,11477
2,4287
4,3665
1,76959
1,3708
2,18651
1,32525
2,3895
4,3701
17,61332
32,3070
13,3069
11,2431
14,6636
8,35787
4,15535
8,2432
2,27448
1,57899
4,92738
7,2417
1,3484
7,87994
3,90540
1,73825
6,99780
2,93274
4,6111
2,32952
3,77808
2,44865
1,61780
1,52494
4,3831
4,3830
4,1927
3,69755
2,15392
2,15400
1,80477
4,3623
11,3666
7,3832
2,2445
14,3021
3,3020
6,3034
1,3031
5,3035
1,3033
16,6141
4,4032
2,60474
6,48336
3,41740
2,87580
1,15210
1,3039
1,59443
7,3700
11,89678
6,26603
10,99563
2,2450
8,99207
8,3005
28,3004
17,3010
18,3001
14,98283
5,4865
2,4477
6,60479
13,3460
2,4515
11,60481
18,3678
7,4162
4,3068
5,87079
4,47397
4,47398
2,78443
2,78444
13,98138
1,4006
1,58247
1,93789
4,2682
3,2423
32,32607
1,91988
1,41948
1,22888
2,4286
1,50305
1,50304
2,6020
8,2714
2,3956
1,22886
2,2456
1,68325
2,4070
1,47905
11,11211
2,92410
1,35394
1,3937
2,7510
5,2980
4,4282
16,3022
2,3030
3,32828
4,98284
2,2540
4,15573
4,11476
3,32028
4,60478
1,3839
2,30043
2,4510
1,2817
15,85984
5,3040
2,3039
2,4599
1,32073
1,32013
1,32014
4,32064
2,32532
9,3673
2,69729
1,1751
2,20482
2,1126
3,1748
10,15712
4,27263
3,3679
8,30504
1,3626
1,32034
2,64567
1,96874
2,69754
1,3899
2,32062
2,3707
3,14716
1,14395
2,85080
2,6232
3,30987
1,60373
4,68568
1,3298
4,73230
4,98585
3,4079
6,87087
2,87544
6,4304
4,6541
1,3384
1,3941
1,30374
1,3062
2,4533
2,59349
3,15303
8,54200
2,4740
4,6091
2,13731
2,4588
2,49308
1,73111
1,6233
2,43898
1,3386
1,18674
4,2310
2,15068
3,4274
1,67095
1,83496
3,3680
2,2462
1,33909
2,4185
1,10104
1,2447
1,99250
42159-1,https://rebrickable.com/sets/42159-1/yamaha-mt-10-sp/?inventory=1
2,3484
6,78258
2,23443
2,2489
9,25214
2,7806
2,15362
1,98585
3,4278
1,3623
2,3666
1,3021
1,3035
1,3033
3,32828
2,18677
4,11458
2,85984
2,24201
2,3708
27,3705
5,57585
15,59443
19,18651
19,32013
5,32034
10,32016
11,32192
4,32014
40,6536
11,32184
7,69819
6,92907
7,63869
4,73507
2,32009
6,41239
2,32278
2,71710
24,60483
22,41677
20,32523
8,6632
4,32449
10,32316
2,11478
5,32524
5,2391
1,32065
8,6629
3,40490
21,71708
15,32140
4,80286
9,32526
4,2477
4,64179
1,39794
1,32064
12,3713
8,42195
1,64781
1,32293
2,64782
2,80267
2,80268
2,64683
2,64391
3,2403
6,11946
6,11947
6,2387
6,2389
3,2395
2,89679
2,80278
2,80274
12,22961
17,65487
9,10197
10,44809
45,18654
1,65098
25,65304
164,61332
2,69636
1,4185
1,26603
1,87079
16,98138
1,83496
1,71722
1,71721
1,42610
75,43093
5,69778
110,42924
2,71720
4,80477
1,6553
7,87083
2,59426
5,55013
4,42135
5,32015
20,42003
12,32291
2,2473
1,10928
2,2457
22,89678
9,27940
2,92909
2,60208
2,6587
4,27965
3,81346
1,65416
2,71711
5,3024
2,3023
3,3710
8,61409
1,93273
12,32073
2,2736
3,32525
2,2825
3,32017
6,32063
2,32271
6,32056
12,60484
5,14720
4,99773
17,32123
4,2852
4,2850
2,94925
1,3649
4,3743
2,18945
2,24119
3,2393
1,65489
3,44874
4,32557
1,77765
1,89953
1,79717
2,63864
8,2412
1,64225
1,47753
2,4158
2,3069
2,4159
3,24375
67,14696
2,69633
2,11272
46,32062
2,3706
26,11214
1,18946
1,2471
9,66906
2,2431
4,49153
11,24316
4,15462
4,99008
3,2854
9,32002
2,28621
4,54200
2,85543
2,73230
1,23948
40,4519
3,44294
1,32000
2,2853
4,2851
2,2474
1,10101
30654-1,https://rebrickable.com/sets/30654-1/x-wing-starfighter/?inventory=1
5,87994
5,61332
5,90540
1,14417
12,3710
4,2412
4,3062
1,14418
2,99206
1,24201
1,11477
9,64567
3,6141
2,99563
2,54200
2,3070
5,3024
4,3023
2,3022
4,15573
4,11476
8,11458
1,3176
4,15068
2,41770
2,41769
912304-1,https://rebrickable.com/sets/912304-1/x-wing-fighter/?inventory=1
1,3070
4,87994
4,90540
1,99780
1,32064
1,15535
2,3666
4,2412
4,3062
1,17485
1,15672
4,64567
1,6141
1,3705
1,3024
1,54200
1,99781
2,3023
4,3710
4,63868
8,60470
1,73230
1,63864
2,41770
2,41769
112323-1,https://rebrickable.com/sets/112323-1/wu-vs-ghost/?inventory=1
1,2570
1,63965
6491400-1,https://rebrickable.com/sets/6491400-1/world-play-day-2023/?inventory=1
1,6134
1,3795
4,30028
1,4727
4,22885
2,30414
3,24866
2,2432
1,3942
2,80497
3,39739
8,3004
5,3001
6,3003
4,11211
1,3937
1,35442
2,3660
2,92947
2,67687
1,54384
1,54383
4,74967
4,30367
2,32607
1,3031
4,3039
2,99207
2,87081
2,3020
2,60592
2,10314
8,2877
2,3245
1,6233
2,15208
3,98138
2,14769
2,3010
1,87580
40585-1,https://rebrickable.com/sets/40585-1/world-of-wonders/?inventory=1
1,4477
8,3666
1,3832
5,3033
10,3069
10,4162
9,3001
9,3004
1,3021
2,3010
2,2456
31,3023
10,3020
20,54200
2,4286
2,3039
9,3710
3,3003
10,6141
4,73825
12,3005
2,14716
9,3062
5,3022
4,3795
3,3034
1,4032
12,48336
10,15573
2,3040
6,60481
3,6636
6,3068
3,98138
2,4490
3,98283
4,6231
3,23969
9,3024
14,33909
9,3070
1,20953
22,37762
4,60601
9,15470
26,85861
12,32028
27,20482
8,87620
4,26601
4,90195
1,10102
76250-1,https://rebrickable.com/sets/76250-1/wolverines-adamantium-claws/?inventory=1
2,73825
4,3004
3,3937
3,6134
4,4477
31,3023
8,3623
12,3460
22,3022
16,3020
10,3795
2,22888
1,15456
12,4304
1,64799
1,6180
8,3298
4,3675
4,3045
4,98560
1,32324
2,61332
10,2431
4,27507
17,6141
1,99781
8,3009
6,3003
22,11211
12,3710
28,3666
8,2420
10,3021
1,3034
2,11212
3,3031
11,2654
20,26047
4,15573
13,60470
2,60478
2,41740
1,4510
2,33909
4,61409
5,54200
1,15672
1,28192
10,24201
4,11477
3,29120
3,29119
30,15068
3,50950
17,24309
4,93273
10,11153
2,42918
8,3069
1,6636
4,27925
2,3068
3,87079
7,25269
4,14769
4,27263
2,22385
2,50955
2,50956
2,47753
1,43712
3,43723
3,43722
3,42862
3,48165
2,87087
4,32952
1,14704
1,69729
2,3001
3,86876
8,22885
2,30414
1,3032
4,32828
9,1762
2,32525
3,60592
6,4162
4,44728
17,4032
7,35480
2,3705
2,67329
4,30166
1,3958
8,44861
2,99780
4,99207
3,3010
2,2456
2,32064
76257-1,https://rebrickable.com/sets/76257-1/wolverine-construction-figure/?inventory=1
4,79389
2,37352
2,3937
2,6134
2,3666
6,2420
4,60897
2,15070
2,48336
2,77850
1,15456
4,54200
4,3049d
8,28192
7,29120
7,29119
4,15068
12,32803
4,13547
2,93606
6,53585
2,48171
2,61332
2,47455
3,3069
1,6565
1,6564
12,26601
10,3171
4,3005
4,6091
2,1686
8,3024
2,3021
6,2654
4,35480
1,85984
4,15571
4,24201
10,11477
6,93273
7,67696
2,42924
10,25269
2,27263
2,44728
1,3710
4,3022
1,3031
2,60470
2,15672
8,66956
1,93604
1,3524
2,3068
2,26047
2,36841
2,32952
2,80431
2,6141
2,22890
4,85943
1,57909
6,98137
6,4081
1,14704
2,14418
4,73230
2,3003
4,1927
10,3023
3,4032
2,36840
2,4871
4,32062
2,99563
6,3700
2,32000
2,99780
2,28802
4,4070
5,3020
6,79491
