part_num,name,dimensions
10202,Tile 6 x 6 with Bottom Tubes,6 x 6 x 1/3
10247,Plate Special 2 x 2 with 1 Pin Hole [Complete Underside Rib],2 x 2 x 1/3
10314,"Brick Curved 1 x 4 x 1 1/3 No Studs, Curved Top with Raised Inside Support",1 x 4 x 1
11002,Plate Special 2 x 2 with Wheels Holder Wide [Reinforced Underside],2 x 2 x 1/3
11153,Slope Curved 4 x 1 No Studs [Stud Holder with Symmetric Ridges],4 x 1
11203,Tile Special 2 x 2 Inverted,2 x 2 x 1/3
11211,Brick Special 1 x 2 with 2 Studs on 1 Side,1 x 2
11212,Plate 3 x 3,3 x 3 x 1/3
11213,Plate Round 6 x 6 with Hole,6 x 6 x 1/3
11215,Bracket 5 x 2 x 1 1/3,5 x 2 x 1 x 1/3
1126,Tile Round 1 x 2,1 x 2 x 1/3
11290,Slope Curved 2 x 8 x 2 Double,2 x 8 x 2
11291,Wedge Curved 3 x 4 x 2/3 Cutout,3 x 4 x 2/3
11301,"Slope, Curved 2 x 8 x 2 Inverted Double",2 x 8 x 2
11399,Plate Special 4 x 4 with Clips Horizontal (thick open O clips),4 x 4 x 1/3
11458,Plate Special 1 x 2 with Pin Hole on Top,1 x 2 x 1/3
11476,Plate Special 1 x 2 with Clip Horizontal on Side,1 x 2 x 1/3
11477,Slope Curved 2 x 1 No Studs [1/2 Bow],2 x 1
12825,Tile Special 1 x 1 with Clip with Rounded Tips,1 x 1 x 1/3
12939,Brick Arch 1 x 6 x 2 - Very Thin Top without Reinforced Underside,1 x 6 x 2
13269,Wedge Sloped 45° 6 x 4 Double / 33° [Train Roof],6 x 4
13349,Wedge Sloped Inverted 4 x 4 Triple [4 Connections between Front Studs],4 x 4
13547,Slope Curved 4 x 1 Inverted,4 x 1
13548,Wedge Sloped 45° 2 x 2 Corner,2 x 2
13731,Brick Curved 10 x 1 [Symmetric Inside Ridges],10 x 1
13965,Brick Arch 1 x 3 x 3 [Gothic],1 x 3 x 3
14395,"Brick Arch 1 x 5 x 4 [Continuous Bow, Raised Underside Cross Supports]",1 x 5 x 4
14413,Wedge 4 x 4 Facet,4 x 4
14417,Plate Special 1 x 2 with 5.9mm Centre Side Towball,1 x 2 x 1/3
14418,Plate Special 1 x 2 5.9mm End Cup,1 x 2 x 1/3
14419,Plate Special 1 x 2 with 5.9mm End Cup and Towball,1 x 2 x 1/3
14704,Plate Special 1 x 2 5.9mm Centre Side Cup,1 x 2 x 1/3
14707,Brick Arch 1 x 12 x 3 Raised Arch,1 x 12 x 3
14716,Brick 1 x 1 x 3,1 x 1 x 3
